,Close,High,Low,Open,Volume,rsi_14,rsi_30,roc_9,mom_30,macd,ema_10,ema_30,ema_200,%k_10,%d_10,%k_30,%d_30,%k_200,%d_200,bb_mavg,bb_high,bb_low,atr_14,cci_20,cmf_20,obv,adl
2019-07-23,9900.767578125,10346.748046875,9883.5947265625,10346.748046875,17851916995,44.4519262555552,50.110048863852434,-3.4642061799599397,-8.793835856745742,-94.13808735232305,10489.70108170278,10593.24364356529,7185.206219991096,32.23821939809209,42.88303408137264,15.920059942397128,24.126330077320215,62.56081334209056,66.21490823245475,10978.326611328124,12619.981650648833,9336.671572007415,821.6679797965625,-96.76469936665497,-0.06198437135909768,571976667839,421059404028.6633
2019-07-24,9811.92578125,9908.796875,9614.306640625,9887.73046875,17398734322,43.864159907018134,49.77473880898406,-9.941763473583103,-10.890614755047041,-146.34233598876563,10366.469208893182,10542.836039544949,7211.342733038448,34.33425513299083,36.87354188231051,14.002619845275268,18.463192719513913,61.707013997653306,63.693221651053356,10908.151025390625,12621.681498202948,9194.620552578303,784.0124265521652,-110.07676096546845,0.00038476754372636677,554577933517,427011684601.7652
2019-07-25,9911.841796875,10154.25390625,9773.95703125,9809.0966796875,15821952090,44.74898383624565,50.162725709163375,4.58131055769103,-15.936633228421076,-177.60487329237367,10283.80967943533,10502.126733566241,7238.213370489559,39.70809724567273,35.42685725891855,16.15907076638378,15.360583518018727,62.667240283479515,62.311689207741125,10854.8201171875,12621.836722842036,9087.803511532966,755.1756014412962,-84.77849489797529,0.02283487330668547,570399885607,422662906755.75354
2019-07-26,9870.3037109375,9916.517578125,9717.982421875,9913.126953125,14495714483,44.435408521616935,49.99662549918189,1.8207609686198112,-24.169267023197673,-203.38790654471813,10208.626776072088,10461.363957912774,7264.403324125858,37.505101565170555,37.182484647944705,17.048391524361506,15.736694045340187,62.26804540235261,62.21409989449514,10787.907763671876,12597.1252925341,8978.690234809652,715.4155696419178,-87.34557788229924,0.05481275941526646,555904171124,430410163821.3506
2019-07-27,9477.677734375,10167.3203125,9411.521484375,9871.1650390625,16817809536,41.476840314249344,48.428622193390815,-11.145236456415843,-15.247772415697439,-252.5910685446197,10075.726950308981,10397.900330587756,7286.425955073611,6.03392079851027,27.749039869784514,7.930198730151852,13.71255367363238,58.49477861588994,61.14335476724069,10689.24931640625,12557.34381469469,8821.154818117811,718.3000881049951,-93.66648442184115,-0.0004510836837294779,539086361588,416536532473.285
2019-07-28,9552.8603515625,9575.544921875,9252.296875,9491.626953125,13738687093,42.26948928844855,48.747032388530506,-9.285888494148915,-23.00632942278019,-282.2645500105573,9980.660295991438,10343.381622263547,7308.977541108326,16.731757596448556,20.09025998670979,9.82568886849183,11.601426374335063,59.21730868085566,59.99337756636607,10552.59443359375,12331.205991351884,8773.982875835614,690.0820851599955,-108.139291813556,-0.020869413230134862,552825048681,428346940547.2745
2019-07-29,9519.1455078125,9681.6484375,9472.9482421875,9548.1787109375,13791445323,41.994802938426645,48.60780930537921,-11.590767663221548,-20.404296904983312,-304.9858173270568,9896.74851632254,10290.205098750577,7330.969262170059,14.854920798182963,12.540199731047258,8.975676508794097,8.910521369145927,58.89329777040485,58.86846168905015,10399.861083984375,11970.430411045583,8829.291756923167,655.697664456603,-93.84012792626238,-0.05711119158821997,539033603358,420661163328.56433
2019-07-30,9607.423828125,9701.759765625,9437.3359375,9522.3291015625,13829811132,43.03858172326912,49.0023297990912,-9.3562767494751,-11.183452716844183,-312.2696129794185,9844.14402755935,10246.154694194089,7353.620551383541,22.340777801873884,17.975818732168463,11.20133307464962,10.000899483978516,59.741681916854326,59.284096122704945,10272.406640625,11654.483286385193,8890.329994864807,627.7495332900598,-86.34210266991502,-0.018098935274562095,552863414490,424623117937.6763
2019-07-31,10085.6279296875,10085.6279296875,9598.09765625,9604.05078125,16631520648,48.45003431809756,51.10568813901309,-2.4893731586963352,-4.700940193575236,-276.2703266795088,9888.05019158265,10235.798128742052,7380.804704401491,59.54516210516914,32.24695356840866,23.257725795920216,14.478245126454645,64.33738307084757,60.99078758603557,10208.754931640626,11499.07146769806,8918.43839558319,617.7338718720199,-38.908427320430306,0.06959080513052128,569494935138,441254638585.6763
2019-08-01,10399.6689453125,10446.919921875,9922.01953125,10077.4423828125,17165337858,51.695509760324995,52.438338683506146,5.039017058533775,-3.7217254481047597,-219.86567289975574,9981.071783169895,10246.370439488534,7410.84315455981,96.0446957150121,59.310211874018364,31.17526937739623,21.87810941598869,67.3554221323975,63.811495706699795,10137.9390625,11203.54137747915,9072.336747520849,611.1029089258043,18.40877252722587,0.061007877892213354,586660272996,455329565419.78656
